[2023-12-25 16:40:44] | Google Chrome, Playground - OpenAI API - 内存用量 - 117 MB - Google Chrome
[2023-12-25 16:40:58] | Electron, active_window_log.txt — AllMind
[2023-12-25 16:41:14] | Google Chrome, Playground - OpenAI API - 内存用量 - 117 MB - Google Chrome
[2023-12-25 16:42:44] | Google Chrome, Playground - OpenAI API - 内存用量 - 119 MB - Google Chrome
[2023-12-25 16:43:02] | Google Chrome, no window
[2023-12-25 16:43:03] | Google Chrome, Playground - OpenAI API - 内存用量 - 119 MB - Google Chrome
[2023-12-25 16:43:04] | Google Chrome,
[2023-12-25 16:43:05] | Google Chrome, Playground - OpenAI API - 内存用量 - 119 MB - Google Chrome
[2023-12-25 16:44:13] | Error executing AppleScript
[2023-12-25 16:44:13] | Google Chrome, Playground - OpenAI API - 内存用量 - 119 MB - Google Chrome
[2023-12-25 16:44:44] | Google Chrome, Playground - OpenAI API - 内存用量 - 123 MB - Google Chrome
[2023-12-25 16:46:44] | Google Chrome, Playground - OpenAI API - 内存用量 - 120 MB - Google Chrome
[2023-12-25 16:46:50] | Electron, active_window_log.txt — AllMind
[2023-12-25 16:46:55] | Google Chrome, Playground - OpenAI API - 内存用量 - 120 MB - Google Chrome
[2023-12-25 16:47:13] | Google Chrome, 新标签页 - Google Chrome
[2023-12-25 16:47:17] | Electron, active_window_log.txt — AllMind
[2023-12-25 16:47:20] | Google Chrome, 新标签页 - 内存用量 - 81.5 MB - Google Chrome
[2023-12-25 16:47:22] | Google Chrome, bili - Google 搜索 - Google Chrome
[2023-12-25 16:47:24] | Google Chrome, 无标题 - Google Chrome
[2023-12-25 16:47:25] | Google Chrome, 哔哩哔哩 (゜-゜)つロ 干杯~-bilibili - Google Chrome
[2023-12-25 16:47:27] | Google Chrome, 无标题 - Google Chrome
[2023-12-25 16:47:28] | Google Chrome, 你是想被永远困在同一天获得永生，还是逃到现实？《死亡循环》赏析【电子羊尾17】_游戏杂谈 - Google Chrome
[2023-12-25 16:47:30] | Google Chrome, 你是想被永远困在同一天获得永生，还是逃到现实？《死亡循环》赏析【电子羊尾17】_游戏杂谈 - 正在播放音频 - 内存用量 - 202 MB - Google Chrome
[2023-12-25 16:47:36] | Electron, active_window_log.txt — AllMind
[2023-12-25 16:47:40] | Google Chrome, Playground - OpenAI API - 内存用量 - 121 MB - Google Chrome
[2023-12-25 16:47:53] | Electron, active_window_log.txt — AllMind
[2023-12-25 16:47:58] | Google Chrome, Playground - OpenAI API - 内存用量 - 121 MB - Google Chrome
[2023-12-25 16:48:15] | Electron, active_window_log.txt — AllMind
[2023-12-25 16:48:17] | Google Chrome, Playground - OpenAI API - 内存用量 - 121 MB - Google Chrome
[2023-12-25 16:49:37] | Google Chrome, Playground - OpenAI API - 内存用量 - 128 MB - Google Chrome
[2023-12-25 16:50:23] | Error executing AppleScript
[2023-12-25 16:50:23] | Google Chrome, Playground - OpenAI API - 内存用量 - 128 MB - Google Chrome
[2023-12-25 16:51:37] | Google Chrome, Playground - OpenAI API - 内存用量 - 125 MB - Google Chrome
[2023-12-25 16:51:48] | Electron, active_window_log.txt — AllMind
[2023-12-25 16:51:48] | Google Chrome, Playground - OpenAI API - 内存用量 - 125 MB - Google Chrome
[2023-12-25 16:52:03] | Google Chrome,
[2023-12-25 16:52:03] | Google Chrome, Playground - OpenAI API - 内存用量 - 125 MB - Google Chrome
[2023-12-25 16:53:37] | Google Chrome, Playground - OpenAI API - 内存用量 - 124 MB - Google Chrome
[2023-12-25 16:53:59] | Electron, active_window_log.txt — AllMind
[2023-12-25 16:54:04] | Google Chrome, Playground - OpenAI API - 内存用量 - 124 MB - Google Chrome
[2023-12-25 16:54:32] | Google Chrome,
[2023-12-25 16:54:32] | Google Chrome, Playground - OpenAI API - 内存用量 - 124 MB - Google Chrome
[2023-12-25 16:54:52] | Electron, active_window_log.txt — AllMind
[2023-12-25 16:54:56] | Google Chrome, Playground - OpenAI API - 内存用量 - 124 MB - Google Chrome
[2023-12-25 16:55:37] | Google Chrome, Playground - OpenAI API - 内存用量 - 127 MB - Google Chrome
[2023-12-25 16:55:50] | Electron, active_window_log.txt — AllMind
[2023-12-25 16:55:53] | Google Chrome, Playground - OpenAI API - 内存用量 - 127 MB - Google Chrome
[2023-12-25 16:56:59] | Google Chrome, ChatGPT - 已固定 - 内存用量 - 225 MB - Google Chrome
[2023-12-25 16:57:48] | Google Chrome, 新标签页 - Google Chrome
[2023-12-25 16:57:51] | Google Chrome, 新标签页 - 内存用量 - 83.6 MB - Google Chrome
[2023-12-25 16:57:54] | Error executing AppleScript
[2023-12-25 16:57:55] | Google Chrome, 新标签页 - 内存用量 - 83.6 MB - Google Chrome
[2023-12-25 16:57:59] | Google Chrome, gpt prompt大全 - Google 搜索 - Google Chrome
[2023-12-25 16:58:02] | Google Chrome, 无标题 - Google Chrome
[2023-12-25 16:58:04] | Google Chrome, gpt prompt大全 - Google 搜索 - Google Chrome
[2023-12-25 16:58:05] | Google Chrome, Prompt 大全 - Google Chrome
[2023-12-25 16:58:08] | Google Chrome, Prompt 大全 - 内存用量 - 91.8 MB - Google Chrome
[2023-12-25 16:58:32] | Google Chrome, gpt prompt大全 - Google 搜索 - 内存用量 - 140 MB - Google Chrome
[2023-12-25 16:58:33] | Google Chrome, 你是想被永远困在同一天获得永生，还是逃到现实？《死亡循环》赏析【电子羊尾17】_游戏杂谈 - 正在播放音频 - 内存用量 - 272 MB - Google Chrome
[2023-12-25 16:58:34] | Google Chrome, ChatGPT - 已固定 - 内存用量 - 218 MB - Google Chrome
[2023-12-25 16:58:38] | Google Chrome, ChatGPT - 已固定 - 内存用量 - 232 MB - Google Chrome
[2023-12-25 16:58:49] | Google Chrome, Prompt 大全 - 内存用量 - 172 MB - Google Chrome
[2023-12-25 16:58:52] | Google Chrome, ChatHub - Google Chrome
[2023-12-25 16:58:53] | Google Chrome, Prompt 大全 - 内存用量 - 172 MB - Google Chrome
[2023-12-25 16:58:55] | Google Chrome, ChatHub - Google Chrome
[2023-12-25 16:58:56] | Google Chrome, ChatHub - 内存用量 - 76.0 MB - Google Chrome
[2023-12-25 17:00:05] | Google Chrome,
[2023-12-25 17:00:05] | Google Chrome, ChatHub - 内存用量 - 76.0 MB - Google Chrome
[2023-12-25 17:00:41] | Google Chrome,
[2023-12-25 17:00:41] | Google Chrome, ChatHub - 内存用量 - 76.0 MB - Google Chrome
[2023-12-25 17:00:43] | Google Chrome,
[2023-12-25 17:00:43] | Google Chrome, ChatHub - 内存用量 - 76.0 MB - Google Chrome
[2023-12-25 17:00:55] | Google Chrome, OpenAI - 内存用量 - 91.8 MB - Google Chrome
[2023-12-25 17:00:56] | Google Chrome, Playground - OpenAI API - 内存用量 - 128 MB - Google Chrome
[2023-12-25 17:00:56] | Google Chrome, Playground - OpenAI API - 内存用量 - 119 MB - Google Chrome
[2023-12-25 17:00:59] | Google Chrome, ChatHub - 内存用量 - 115 MB - Google Chrome
[2023-12-25 17:01:02] | Google Chrome, OpenAI - 内存用量 - 101 MB - Google Chrome
[2023-12-25 17:01:04] | Google Chrome, Playground - OpenAI API - 内存用量 - 119 MB - Google Chrome
[2023-12-25 17:01:09] | Google Chrome, ChatHub - 内存用量 - 115 MB - Google Chrome
[2023-12-25 17:01:11] | Google Chrome, Playground - OpenAI API - 内存用量 - 119 MB - Google Chrome
[2023-12-25 17:01:16] | Google Chrome, ChatHub - 内存用量 - 115 MB - Google Chrome
[2023-12-25 17:02:56] | Google Chrome, ChatHub - 内存用量 - 120 MB - Google Chrome
[2023-12-25 17:02:59] | Electron, active_window_log.txt — AllMind
[2023-12-25 17:03:05] | Google Chrome, ChatHub - 内存用量 - 120 MB - Google Chrome
[2023-12-25 17:03:17] | Google Chrome, no window
[2023-12-25 17:03:18] | Google Chrome, ChatHub - 内存用量 - 120 MB - Google Chrome
[2023-12-25 17:04:53] | Google Chrome, Playground - OpenAI API - 内存用量 - 120 MB - Google Chrome
[2023-12-25 17:04:56] | Google Chrome, Playground - OpenAI API - 内存用量 - 118 MB - Google Chrome
[2023-12-25 17:04:58] | Google Chrome, 你是想被永远困在同一天获得永生，还是逃到现实？《死亡循环》赏析【电子羊尾17】_游戏杂谈 - 正在播放音频 - 内存用量 - 275 MB - Google Chrome
[2023-12-25 17:04:59] | Google Chrome, Prompt 大全 - 内存用量 - 170 MB - Google Chrome
[2023-12-25 17:05:00] | Google Chrome, ChatHub - 内存用量 - 144 MB - Google Chrome
[2023-12-25 17:05:01] | Google Chrome, gpt prompt大全 - Google 搜索 - 内存用量 - 165 MB - Google Chrome
[2023-12-25 17:05:02] | Google Chrome, 你是想被永远困在同一天获得永生，还是逃到现实？《死亡循环》赏析【电子羊尾17】_游戏杂谈 - 正在播放音频 - 内存用量 - 275 MB - Google Chrome
[2023-12-25 17:05:04] | Google Chrome, Playground - OpenAI API - 内存用量 - 118 MB - Google Chrome
[2023-12-25 17:05:06] | Google Chrome, 你是想被永远困在同一天获得永生，还是逃到现实？《死亡循环》赏析【电子羊尾17】_游戏杂谈 - 正在播放音频 - 内存用量 - 275 MB - Google Chrome
[2023-12-25 17:05:07] | Google Chrome, 哔哩哔哩 (゜-゜)つロ 干杯~-bilibili - 内存用量 - 160 MB - Google Chrome
[2023-12-25 17:05:08] | Google Chrome, ChatGPT - 已固定 - 内存用量 - 221 MB - Google Chrome
[2023-12-25 17:05:11] | Google Chrome, ChatHub - 内存用量 - 144 MB - Google Chrome
[2023-12-25 17:05:57] | Google Chrome,
[2023-12-25 17:05:58] | Google Chrome, ChatHub - 内存用量 - 144 MB - Google Chrome
[2023-12-25 17:06:42] | Google Chrome, Playground - OpenAI API - 内存用量 - 118 MB - Google Chrome
[2023-12-25 17:06:56] | Google Chrome, Playground - OpenAI API - 内存用量 - 123 MB - Google Chrome
[2023-12-25 17:08:56] | Google Chrome, Playground - OpenAI API - 内存用量 - 120 MB - Google Chrome
[2023-12-25 17:09:51] | Electron, active_window_log.txt — AllMind
[2023-12-25 17:09:55] | Google Chrome, Playground - OpenAI API - 内存用量 - 120 MB - Google Chrome
[2023-12-25 17:10:03] | Electron, active_window_log.txt — AllMind
[2023-12-25 17:10:07] | Google Chrome, Playground - OpenAI API - 内存用量 - 120 MB - Google Chrome
[2023-12-25 17:10:15] | Electron, active_window_log.txt — AllMind
[2023-12-25 17:10:24] | Google Chrome, Playground - OpenAI API - 内存用量 - 120 MB - Google Chrome
[2023-12-25 17:10:56] | Google Chrome, Playground - OpenAI API - 内存用量 - 121 MB - Google Chrome
[2023-12-25 17:11:15] | Google Chrome, OpenAI - 内存用量 - 102 MB - Google Chrome
[2023-12-25 17:11:16] | Google Chrome, Playground - OpenAI API - 内存用量 - 121 MB - Google Chrome
[2023-12-25 17:11:17] | Google Chrome, ChatGPT - 已固定 - 内存用量 - 215 MB - Google Chrome
[2023-12-25 17:11:19] | Google Chrome, ChatHub - 内存用量 - 143 MB - Google Chrome
[2023-12-25 17:11:20] | Google Chrome, Prompt 大全 - 内存用量 - 151 MB - Google Chrome
[2023-12-25 17:11:22] | Google Chrome, Playground - OpenAI API - 内存用量 - 121 MB - Google Chrome
[2023-12-25 17:11:31] | Google Chrome, ChatHub - 内存用量 - 143 MB - Google Chrome
[2023-12-25 17:12:06] | Google Chrome, 【IGN】10分，《死亡循环》评测：独一无二的全新标杆之作 - 正在播放音频 - 内存用量 - 274 MB - Google Chrome
[2023-12-25 17:12:09] | Google Chrome, 哔哩哔哩 (゜-゜)つロ 干杯~-bilibili - 内存用量 - 163 MB - Google Chrome
[2023-12-25 17:12:15] | Electron, active_window_log.txt — AllMind
[2023-12-25 17:12:20] | Google Chrome, 哔哩哔哩 (゜-゜)つロ 干杯~-bilibili - 内存用量 - 163 MB - Google Chrome
[2023-12-25 17:12:56] | Google Chrome, 哔哩哔哩 (゜-゜)つロ 干杯~-bilibili - 内存用量 - 265 MB - Google Chrome
[2023-12-25 17:13:03] | Google Chrome, gpt prompt大全 - Google 搜索 - 内存用量 - 133 MB - Google Chrome
[2023-12-25 17:13:04] | Google Chrome, ChatHub - 内存用量 - 144 MB - Google Chrome
[2023-12-25 17:13:05] | Google Chrome, Playground - OpenAI API - 内存用量 - 122 MB - Google Chrome
[2023-12-25 17:13:20] | Google Chrome, openai - Google 搜索 - 内存用量 - 232 MB - Google Chrome
[2023-12-25 17:13:25] | Google Chrome, OpenAI - Google Chrome
[2023-12-25 17:13:26] | Google Chrome, 哔哩哔哩 (゜-゜)つロ 干杯~-bilibili - 内存用量 - 265 MB - Google Chrome
[2023-12-25 17:13:34] | Google Chrome, 哔哩哔哩 (゜-゜)つロ 干杯~-bilibili - 内存用量 - 273 MB - Google Chrome
